ChandlerRay19,0,131,259,280,6813,.63,.50,24.33
CharlesCrown6,1,5,197,19,0,.14,.02,0
CharlesEldonB,0,573,740,908,628,2.07,.77,.69
CharukChristina,1,240,1229,2068,6764,13.69,.19,3.27
CheekeSherika,1,29,275,75,46,.78,.10,.61
ChefsmomCmt,0,508,1343,1691,2465,7.25,.37,1.45
CherieProud,1,8814,8968,2284,5964,7.48,.98,2.61
CherylH95005477,0,818,510,3879,22994,13.56,1.60,5.92
Chester67543949,1,326,748,15166,25810,53.59,.43,1.70
Cheyenn52553417,0,4,116,1,11,0,.03,11.00
CheyenneMauzy,0,106,628,251,578,.55,.16,2.30
Chris1203511555,0,3649,4139,6492,5954,27.50,.88,.91
ChrisGinsburg1,0,19,113,137,258,.74,.16,1.88
ChristianKbond,0,21,81,56,430,.35,.25,7.67
ChristinaClue,1,80,187,85,1,.22,.42,.01
ChurchofCreati1,1,1,16,2,2,.01,.06,1.00
Cierra_Reimche,0,31,438,21,226,.05,.07,10.76
Cinderella5280,1,2869,4863,25931,32949,59.74,.58,1.27
CindyKub2,0,178,574,4364,8398,13.85,.31,1.92
ClarkeBush,0,95,588,67,79,.22,.16,1.17
ClaudiaLKehoe,0,179,104,38,115,.17,1.72,3.02
ClimatePolitic1,1,0,35,2,3,.01,0,1.50
ClubLiberals,0,60,129,422,525,.97,.46,1.24
ClubTaney,0,27,127,63,189,.15,.21,3.00
ClydeCadiddleh1,1,358,840,13017,17652,31.06,.42,1.35
CoachDavies_28,0,6,62,9,247,.04,.09,27.44
CoachJDank,0,205,1144,2079,10104,4.91,.17,4.86
CodeineFrancois,1,113,903,1,0,0,.12,0
CoffeeL48396139,0,3804,4981,27781,55316,87.08,.76,1.99
ColinJo15371370,1,24,638,23,122,.09,.03,5.30
Concern25695269,1,3,34,3432,140,26.19,.08,.04
ConradTyler10,1,138,2097,49,323,.33,.06,6.59
CoraHanf,0,7,49,7,8,.04,.14,1.14
Corbin88767989,0,4,84,19,917,.04,.04,48.26
CorbinCase,0,25,114,16,92,.07,.21,5.75
Corewisp,0,249,217,382,670,1.02,1.14,1.75
CoreyDBolton1,0,26,107,23,26,.05,.24,1.13
CoreyPHarrisNE,1,6,169,32,4,.30,.03,.12
CorpMillennium,0,86,668,879,1004,5.26,.12,1.14
CoryStevens1987,0,1,62,5,357,.02,.01,71.40
Couliba53905223,1,4,169,4,13,.03,.02,3.25
CounterPunchTee,0,68,164,17,3,.03,.41,.17
CovfefeGrande,0,1718,2195,4103,16984,11.89,.78,4.13
Cowboy69881,1,3425,3702,6568,8975,28.55,.92,1.36
CowherdLynne,1,8,46,1,11,.01,.17,11.00
CoxDigna2,0,883,1088,23527,103895,113.11,.81,4.41
CoytHumberto,1,1369,4349,10335,6176,47.40,.31,.59
CpaKeystone,1,6,64,937,1914,3.44,.09,2.04
CrazyStory95,1,7,274,11,8,.08,.02,.72
CrossCurran,0,56,86,60,22,.20,.65,.36
CryptoCostello,1,29,721,13,5,.03,.04,.38
CsnowflakeD,1,1300,3765,2740,3451,10.70,.34,1.25
Cynthia03516751,0,661,796,2184,2721,12.20,.83,1.24
D3plorabl3Skyl3,0,2390,2449,16091,10225,53.10,.97,.63
DAyesiyenga,0,2,93,1,1,0,.02,1.00
DIYTCraft1,1,263,1968,66,151,.51,.13,2.28
DJ_theoretical,0,124,1163,714,2781,4.35,.10,3.89
DOputin,0,8,501,244,589,1.09,.01,2.41
DPhq5DjV2qEDd41,1,0,56,1,2,0,0,2.00
DREAMER7712,0,1730,2017,38569,50023,90.32,.85,1.29
DRobertsone,1,131,536,4,47,.01,.24,11.75
DT07921995,1,0,58,34,16,.25,0,.47
D_Rob1989,0,26,95,32,137,.10,.27,4.28
DagobahMetal,0,359,1289,226,1169,.72,.27,5.17
DalecomMedia,0,40,169,90,24,.31,.23,.26
DamionDouglas8,1,2730,4951,3231,5575,28.59,.55,1.72
DanielM29023415,0,434,881,6298,10026,61.14,.49,1.59
DanielWillSanD,1,57,335,374,2921,1.56,.17,7.81
DanielcGannon,0,124,407,213,957,.59,.30,4.49
Danielw24180378,0,88,231,1480,5692,3.93,.38,3.84
David25632729,0,18,381,22,35,.14,.04,1.59
DavidFranklinWG,0,182,683,843,155,1.90,.26,.18
DavidJo44923625,0,5,185,2,1,.01,.02,.50
DavidNKing1,0,1017,2195,3258,4361,26.92,.46,1.33
DavidPe93566204,0,49,153,33,5344,.10,.32,161.93
DavidSlaterPVMO,0,23,41,17,102,.03,.56,6.00
DavidSt55889796,0,43,31,169,209,.63,1.38,1.23
DavidWFrancis4,0,861,1467,54154,53848,125.64,.58,.99
DebDavey8,0,29,41,14,196,.04,.70,14.00
DeeThom97060648,1,149,272,1895,8070,6.48,.54,4.25
DemocratBetty,1,6,5,4,2,.01,1.20,.50
DemocratMiddle,1,39,248,2313,16,13.76,.15,0
DeniseMckibben,1,10,61,17,8196,.11,.16,482.11
Deplor_Con,0,596,1003,332,363,.79,.59,1.09
DeplorableMik16,0,4004,4504,2459,1496,12.41,.88,.60
Derrick78153608,0,30,222,194,1763,.94,.13,9.08
DesmondHarry3,1,169,2418,1,0,0,.06,0
DevilsAdocate88,1,2,101,2,0,.01,.01,0
DianeNamm,1,207,242,5251,14513,21.00,.85,2.76
DimwadDump,0,172,284,335,13,3.52,.60,.03
DinadesalvoA,0,132,424,4098,11131,14.42,.31,2.71
DipuHira4,1,163,2222,223,109,1.35,.07,.48
DjadjaThomas,1,2,70,2,32,.01,.02,16.00
Donald28899303,1,303,1604,5,0,.01,.18,0
DonnaBrentling1,0,1,55,1,0,0,.01,0
DonnaM53881887,0,732,1425,771,179,3.55,.51,.23
DonnaMc60424639,0,806,256,44835,57001,188.38,3.14,1.27
DormanDenise,0,127,291,229,1807,1.09,.43,7.89
DrRobotNik2014,0,8,196,14,29,.04,.04,2.07
Drewalan3aolco1,1,4,9,25,3,.23,.44,.12
DuMarple,1,716,3571,4,6510,.01,.20,1627.50
DudeIndependent,0,23,91,80,2631,.29,.25,32.88
DylangrossOH,0,4,79,2,16,0,.05,8.00
Dylanshea8,1,0,16,1,0,.01,0,0
DymekJessica,1,3,143,24,137,.12,.02,5.70
E32526351,0,1,106,45,287,.10,0,6.37
E68127224,0,20,297,174,2526,1.06,.06,14.51
EFwPz8eyx4HKBzC,1,11,68,3,5,.03,.16,1.66
EKM0fAD2v2n4Cbj,1,7,322,15,3,.06,.02,.20
EPockles,0,0,61,13,9,.03,0,.69
E_Hartley_STL,0,44,298,82,307,.30,.14,3.74
EastMOLaborers,0,156,417,414,102,1.05,.37,.24
EconomyDem,0,53,502,1330,428,2.92,.10,.32
EddieSm16457860,1,10,110,3099,587,19.49,.09,.18
EdgyGuy4,0,126,605,1429,1750,11.43,.20,1.22
EffenBarnett,1,1780,3116,858,732,3.51,.57,.85
ElToro75732917,0,55,197,3736,3321,10.09,.27,.88
ElectricTufts,0,55,422,129,40,.46,.13,.31
ElenaHrvt,0,132,237,86,364,.60,.55,4.23
ElesRufus,0,309,213,2179,2250,6.52,1.45,1.03
Elisa64908562,1,23,736,430,2351,2.63,.03,5.46
ElizabethRegard,0,4,103,4,2,.02,.03,.50
ElmirHasay,1,4,75,6,44,.04,.05,7.33
ElricMitsumi,1,4,67,45,129,.33,.05,2.86
Elyssebeth1,1,21,181,637,503,1.96,.11,.78
EmadSal11090476,1,1000,2604,41,579,.24,.38,14.12
EqualityLiberal,0,58,261,226,136,1.48,.22,.60
EricRus91537683,1,1917,3813,1053,1255,8.10,.50,1.19
EricaFor96,0,230,182,48,70,.11,1.26,1.45
Ericdon71253333,1,153,2025,1,4,0,.07,4.00
ErikanboneM,0,11,49,2,7,.01,.22,3.50
ErinWri73790413,0,21,51,8,202,.03,.41,25.25
Esandman2,1,1413,5002,1429,1289,3.41,.28,.90
EspositoJonni,0,3370,4126,1815,2196,4.40,.81,1.20
Estelle96357317,1,3,166,1150,479,5.34,.01,.41
EvanPCade,0,47,230,266,2517,1.27,.20,9.46
FFewou,1,0,14,1,1,0,0,1.00
FNACtweets,0,1,34,10,0,.08,.02,0
FU18826999,1,5,46,6,23,.03,.10,3.83
FWhqv,1,133,801,282,14946,1.06,.16,53.00
FYYFF99,0,687,966,1393,1224,3.34,.71,.87
Fancy_Phase,0,2,60,8,50,.02,.03,6.25
Farmer31548981,0,763,2237,1121,170,5.77,.34,.15
Felixra18471630,1,284,1495,13,1409,.04,.18,108.38
FindingGraceMin,0,17,152,19,11,.05,.11,.57
FjShopping1,1,22,282,9,28,.09,.07,3.11
FlaugherHannah,0,11,39,33,155,.18,.28,4.69
Flave56570391,1,1,24,1,0,0,.04,0
FlippingFurious,1,2,194,33,96,.22,.01,2.90
FloridianQueer,0,11,294,1,0,0,.03,0
Floyd01739023,0,2576,3574,3181,0,9.49,.72,0
ForMissouri,0,203,110,300,395,1.33,1.84,1.31
ForckLindsey,0,7,67,59,64,.21,.10,1.08
ForgiveForget9,0,28,761,951,727,3.02,.03,.76
FoundOne14,1,151,213,5488,6210,31.54,.70,1.13
FoxtrotOscar59,1,594,1149,4057,4901,19.59,.51,1.20
FragranceL7,0,40,1084,6,4,.03,.03,.66
FrancesBrumley1,0,5,53,4,127,.04,.09,31.75
