Ahnahhellnah,1,44,1072,227,6151,1,0,.81
AhsaanU64481904,1,85,1492,12,524,1,0,.06
AhsanCh84372955,1,2,62,3,14,1,0,.02
AilsonSaldanha,1,40,609,8,8,1,0,.03
AinaThunde,1,3,206,2,6,1,0,.01
AjmalSayes,1,146,1912,4,2,1,1,.01
AkbarDanishyar,1,6,278,6,158,1,0,.04
AkifUsmani2,1,2,108,5,81,1,0,.03
AkramAtwo,1,10,164,3,3,1,0,.02
AktherMonjila,1,758,4939,168,465,0,0,.96
AkuaKumah1,1,90,457,5,140,1,0,.02
Al_Natanagara,0,1262,2290,6153,17271,0,0,25.63
AlainMichaux01,1,11,287,68,111,1,0,.44
AlbertaBranden8,1,5,270,129,241,1,1,1.10
AlexDon72347179,1,4,43,2,4,1,0,0
AlexParry30,1,37,658,1167,1516,1,0,4.70
AlexRad17,1,97,504,6597,3418,1,0,50.74
AlexRamey10,1,1,51,3,2,1,0,.02
AlexRog06386180,1,19,288,45,94,0,0,.21
Alexand57218569,1,3557,3993,28,74,1,0,.22
AlexanderLytle2,1,599,1378,1454,13761,1,0,4.27
Alexcon04453803,1,24,149,26,2,1,0,.18
Alham21189833,1,1,56,1,0,1,1,0
Ali770Anis,1,3,9,20,3,1,0,.17
AliAhma94235404,1,1,90,4,1,1,0,.04
AliBeka20,1,3,154,5,1,1,1,.04
AliHass67228075,1,0,61,3,4,1,1,.02
AliHuss66701285,1,179,4975,131,21,1,0,.66
AliJanMemon8,1,2,75,10,5,1,0,.07
AliNasraldein,1,2,78,3,17,1,0,.02
AliReesha,1,71,433,332,696,1,0,.72
Alice30578774,0,21,161,75,422,1,0,.29
AliceVarnum4,1,2,108,235,45,1,1,2.07
Alikan54240658,1,7,58,6,3,1,0,.05
AlimiHamidullah,1,5,59,2,8,1,0,.01
Alisaloum8,1,2,163,16,2,1,0,.14
AliskasAmazing,1,3,68,21,0,1,0,.16
AliyaarMharm,1,0,9,2,12,1,0,.02
All4ACT2,1,346,2436,10638,14234,1,0,54.00
AllUnitedAs1,1,805,2164,13151,14498,1,0,90.07
AllisonBorstad,1,1,32,10,3,1,1,.05
AllisonEwers,0,49,145,20,80,1,0,.10
Allycat231aolc1,1,1,73,15,2591,1,1,.03
AllynTa62806380,1,626,2477,33216,25114,1,0,127.26
Almandro1,1,2,73,3,65,1,1,.03
AlnasrSufyan,1,30,1376,3,9,1,0,.02
AlouisMatumbar1,1,11,132,1,1,1,0,0
AloukikR,1,2,25,6,0,1,0,.03
AlphonsSaju,1,0,55,9,1,1,1,.09
AlsultinyArshad,1,0,13,0,0,1,0,0
AltapHussain17,1,93,2269,36,117,1,0,.23
AltheaLayne1,0,1,86,5,1,1,1,.02
Alyssa25450874,0,2,63,8,34,1,0,.08
Alyssa62968594,1,4,65,2,34,1,0,.02
AmadouAminou5,1,0,124,3,7,1,0,.03
AmandaR11055387,1,0,9,1,1,1,0,0
Amani45810830,1,2,72,1,0,1,0,.01
AmanpourCoPBS,1,10980,773,619,1093,1,0,2.47
AmarAla65736434,1,2,22,1,0,1,1,0
AmberWiewel,1,1,74,0,3,1,1,0
Amberle67399722,1,6,221,16,48,1,1,.15
AmerdCfa,1,10,355,40,56,1,0,.36
AmericanTruth8,1,22,207,2544,1385,1,1,7.82
AmericasMullig1,1,4,126,302,1,1,0,1.88
Amir03738478,1,77,771,273,410,1,0,1.82
AmirAhmatAdam4,1,1,68,5,1,1,0,.03
Amjad41506800,1,1,84,5,7,1,0,.04
