AngkorSiluch,1,17,188,19,185,.11,.09,9.73
AngryIFTwitting,1,19,156,238,74,.89,.12,.31
Ania31922659,1,23,504,167,0,1.25,.04,0
AniaCervera,1,211,4944,106,410,.43,.04,3.86
Animalvintage1,1,3,27,19,38,.06,.11,2.00
AnisUdd14823866,1,4,95,2,0,.01,.04,0
AnitaFanboy,1,93,423,973,837,5.28,.21,.86
AnnaGorse8,1,3,24,6,19,.01,.12,3.16
AnneRidge4,1,10,201,26,139,.11,.04,5.34
Annette61625173,1,9,340,2,22,.01,.02,11.00
Annette88320468,1,2,19,1,16,0,.10,16.00
AnnexLegal,1,139,1034,86,2,.38,.13,.02
AnnieCElder,1,26,285,2,31,.01,.09,15.50
AnnieLeomporra,1,2,145,19,1252,.10,.01,65.89
Annie_7316,1,53,700,1054,770,3.08,.07,.73
AnnikaJCole,1,136,370,69,683,.26,.36,9.89
AnonLeonidasI,1,2122,3581,235,395,.72,.59,1.68
AntanetteStarr,1,1687,2054,9800,12399,22.22,.82,1.26
Anthony71238790,1,216,2532,568,752,2.86,.08,1.32
AnthonyBauman5,1,967,1224,1966,4184,4.57,.79,2.12
AnthonyIgben,1,36,431,5,18,.04,.08,3.60
AnthonyMixerWA,0,5571,965,2355,5212,10.70,5.77,2.21
AntimatterClub,1,514,1540,4,13,.01,.33,3.25
AntonGruber87,0,41,190,299,162,1.79,.21,.54
Antonio27089062,1,5,49,2,4,.02,.10,2.00
Antoniolewis311,1,15,387,201,76,2.01,.03,.37
AntonyNyan,1,1,99,4,5,.03,.01,1.25
Antwannroundtr1,1,434,1667,3635,3511,12.44,.26,.96
AnusQaim,1,6,115,6,11,.06,.05,1.83
AnwarAnwarovic2,1,14,790,6,0,.04,.01,0
Anywaywithcroo1,1,84,446,1864,8792,8.17,.18,4.71
AppiahS94655893,1,6,43,1,0,0,.13,0
AppleAllen3,0,1051,3016,3170,3191,7.65,.34,1.00
AppleJacquesAlt,1,106,1677,529,395,1.88,.06,.74
ApplegateAshton,1,32,71,62,671,.20,.45,10.82
April_V_,1,1608,2027,10669,48137,36.53,.79,4.51
AqibTan56486885,1,1,20,5,4,.04,.05,.80
